timestamp,open,high,low,close,volume
2020-06-18,37.8200,39.2000,37.5700,38.5700,285629
2020-06-17,38.5500,38.9000,37.9600,38.3200,467766
2020-06-16,39.7100,39.7100,37.9300,38.4500,546349
2020-06-15,35.7700,37.8700,35.6800,37.3400,460587
2020-06-12,37.3300,37.8100,35.7300,37.4200,562431
2020-06-11,38.1900,38.1900,35.0400,35.3400,872790
2020-06-10,42.0600,42.2400,40.0200,40.6700,678908
2020-06-09,42.0100,42.7300,41.1900,42.4700,694877
2020-06-08,43.2900,43.7800,42.7000,43.2700,696290
2020-06-05,41.3100,43.2900,40.9800,42.2200,977498
2020-06-04,38.1500,39.7800,37.4800,39.7400,824734
2020-06-03,37.7200,39.5000,37.3600,38.5300,716475
2020-06-02,35.7800,37.7900,35.2600,36.8100,1184911
2020-06-01,34.1900,35.4600,33.8600,35.3900,577579
2020-05-29,34.0000,34.7000,33.7600,34.2600,971177
2020-05-28,35.2600,35.5400,34.2400,34.6600,761324
2020-05-27,35.4000,36.0600,33.9100,34.9400,777634
2020-05-26,32.8600,34.4950,32.2900,34.0500,1020325
2020-05-22,31.7000,31.7200,30.4100,31.1000,468389
2020-05-21,31.5000,32.4600,31.2300,31.3300,1198933
2020-05-20,32.1200,32.9900,31.2745,31.6000,1023029
2020-05-19,33.3900,33.4800,31.5900,31.6100,441857
2020-05-18,31.3900,33.6200,31.3061,33.4200,703216
2020-05-15,29.6200,30.4900,29.4013,29.9000,420964
2020-05-14,29.1100,30.7500,27.9300,30.7300,692680
2020-05-13,31.6100,31.8194,29.3300,29.7400,744305
2020-05-12,33.9600,34.1000,32.0300,32.0500,585834
2020-05-11,35.3300,35.5700,33.7600,33.8000,884369
2020-05-08,33.9500,35.8600,33.7300,35.4900,987321
2020-05-07,32.8500,33.6200,32.4600,33.1500,661776
2020-05-06,34.4100,34.5300,32.2800,32.3500,1054694
2020-05-05,33.8000,34.5450,33.7200,33.9200,775096
2020-05-04,34.3300,34.3500,31.3900,32.7800,1947007
2020-05-01,34.3800,35.0800,33.3100,34.9400,1170235
2020-04-30,34.0700,35.5500,33.0100,35.4000,2696080
2020-04-29,30.6100,35.5400,30.4600,34.8900,2792307
